,link,name,level,memberSince,city,contributions,helpful,cites,photos,distributionExcellent,distributionVeryGood,distributionAverage,distributionPoor,distributionTerrible,friends,reviews,tagsReviewMap,tagsComplimentMap,topCategoryMap,reviewTag_Helpful,reviewTag_Thanks,reviewTag_Love this,reviewTag_Oh no,reviewTag_Review updates,reviewTag_First reviews,reviewTag_Followers,complimentTag_Good writer,complimentTag_Thank you,complimentTag_Just a note,complimentTag_You’re cool,complimentTag_Write more,complimentTag_Like your profile,complimentTag_Great photo,topCategory_Restaurants,topCategory_Event Planning & Services,topCategory_Bars,topCategory_Nightlife,complimentTag_Hot stuff,complimentTag_You’re funny,complimentTag_Cute pic,topCategory_Food,complimentTag_Great lists,topCategory_Seafood,topCategory_Cocktail Bars,topCategory_Mediterranean,topCategory_Mexican,topCategory_Breakfast & Brunch,ELITE
0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,{},{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,/user_details?userid=YM0z6iErTY_AfajAYT2ZoA,Mj F.,--,June 2011,"New York, NY",--,--,--,418,34,45,11,2,5,43,97,"{'reviewTag_Helpful': '69', 'reviewTag_Thanks': '2', 'reviewTag_Love this': '67', 'reviewTag_Oh no': '3', 'reviewTag_Review updates': '13', 'reviewTag_First reviews': '1', 'reviewTag_Followers': '4'}","{'complimentTag_Good writer': '4', 'complimentTag_Thank you': '3', 'complimentTag_Just a note': '2', 'complimentTag_You’re cool': '1', 'complimentTag_Write more': '1', 'complimentTag_Like your profile': '1', 'complimentTag_Great photo': '1'}","{'topCategory_Restaurants': '54', 'topCategory_Event Planning & Services': '20', 'topCategory_Bars': '19', 'topCategory_Nightlife': '19'}",69,2.0,67,3.0,13.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,54.0,20.0,19.0,19.0,,,,,,,,,,,0
2,/user_details?userid=1k36zEvbfj3HEHEnqcLAUg,Stephy G.,--,July 2012,"Fair Lawn, NJ",--,--,--,1805,101,115,82,34,3,371,335,"{'reviewTag_Helpful': '3.5k', 'reviewTag_Thanks': '28', 'reviewTag_Love this': '2.9k', 'reviewTag_Oh no': '12', 'reviewTag_Review updates': '0', 'reviewTag_First reviews': '0', 'reviewTag_Followers': '66'}","{'complimentTag_You’re cool': '78', 'complimentTag_Great photo': '68', 'complimentTag_Thank you': '49', 'complimentTag_Good writer': '42', 'complimentTag_Hot stuff': '39', 'complimentTag_Just a note': '36', 'complimentTag_You’re funny': '7', 'complimentTag_Write more': '3', 'complimentTag_Like your profile': '2', 'complimentTag_Cute pic': '1'}","{'topCategory_Restaurants': '241', 'topCategory_Food': '102', 'topCategory_Nightlife': '82', 'topCategory_Bars': '79'}",3.5k,28.0,2.9k,12.0,0.0,0.0,66.0,42.0,49.0,36.0,78.0,3.0,2.0,68.0,241.0,,79.0,82.0,39.0,7.0,1.0,102.0,,,,,,,
3,/user_details?userid=quqkZJJSm79L6ghOFvvY3w,Stephen S.,--,September 2012,"Lighthouse Point, FL",--,--,--,6037,230,105,31,7,24,746,397,"{'reviewTag_Helpful': '7.6k', 'reviewTag_Thanks': '80', 'reviewTag_Love this': '6.6k', 'reviewTag_Oh no': '24', 'reviewTag_Review updates': '62', 'reviewTag_First reviews': '40', 'reviewTag_Followers': '120'}","{'complimentTag_Thank you': '1244', 'complimentTag_You’re cool': '1207', 'complimentTag_Great photo': '1035', 'complimentTag_Just a note': '345', 'complimentTag_Hot stuff': '299', 'complimentTag_Good writer': '151', 'complimentTag_You’re funny': '113', 'complimentTag_Write more': '25', 'complimentTag_Like your profile': '12', 'complimentTag_Great lists': '1', 'complimentTag_Cute pic': '1'}","{'topCategory_Restaurants': '257', 'topCategory_Nightlife': '79', 'topCategory_Bars': '77', 'topCategory_Seafood': '53'}",7.6k,80.0,6.6k,24.0,62.0,40.0,120.0,151.0,1244.0,345.0,1207.0,25.0,12.0,1035.0,257.0,,77.0,79.0,299.0,113.0,1.0,,1.0,53.0,,,,,
4,/user_details?userid=_dFTops0NkUBywuzpI4Ppw,Kelly G.,--,March 2014,"Charleston, SC",--,--,--,2452,281,92,54,28,13,285,468,"{'reviewTag_Helpful': '1.2k', 'reviewTag_Thanks': '18', 'reviewTag_Love this': '859', 'reviewTag_Oh no': '15', 'reviewTag_Review updates': '18', 'reviewTag_First reviews': '21', 'reviewTag_Followers': '25'}","{'complimentTag_Just a note': '41', 'complimentTag_Thank you': '41', 'complimentTag_Good writer': '39', 'complimentTag_You’re cool': '37', 'complimentTag_Hot stuff': '19', 'complimentTag_Great photo': '18', 'complimentTag_You’re funny': '7', 'complimentTag_Write more': '2', 'complimentTag_Like your profile': '2'}","{'topCategory_Restaurants': '266', 'topCategory_Nightlife': '91', 'topCategory_Bars': '87', 'topCategory_Seafood': '79'}",1.2k,18.0,859,15.0,18.0,21.0,25.0,39.0,41.0,41.0,37.0,2.0,2.0,18.0,266.0,,87.0,91.0,19.0,7.0,,,,79.0,,,,,
5,/user_details?userid=IUZIVsyo5V9ihA9KNaVuVw,Nicki M.,--,July 2018,"Katy, TX",--,--,--,486,106,37,6,1,0,148,150,"{'reviewTag_Helpful': '52', 'reviewTag_Thanks': '11', 'reviewTag_Love this': '45', 'reviewTag_Oh no': '5', 'reviewTag_Review updates': '12', 'reviewTag_First reviews': '4', 'reviewTag_Followers': '4'}","{'complimentTag_Thank you': '3', 'complimentTag_Write more': '2', 'complimentTag_Like your profile': '1', 'complimentTag_Hot stuff': '1', 'complimentTag_Great photo': '1', 'complimentTag_Good writer': '1'}","{'topCategory_Restaurants': '114', 'topCategory_Nightlife': '39', 'topCategory_Bars': '36', 'topCategory_Food': '30'}",52,11.0,45,5.0,12.0,4.0,4.0,1.0,3.0,,,2.0,1.0,1.0,114.0,,36.0,39.0,1.0,,,30.0,,,,,,,
6,/user_details?userid=3CU32j5m54UJg45DDkgEsw,Susan P.,--,February 2012,"Austin, TX",--,--,--,2966,183,108,33,16,3,292,343,"{'reviewTag_Helpful': '609', 'reviewTag_Thanks': '5', 'reviewTag_Love this': '447', 'reviewTag_Oh no': '2', 'reviewTag_Review updates': '15', 'reviewTag_First reviews': '14', 'reviewTag_Followers': '16'}","{'complimentTag_Thank you': '51', 'complimentTag_You’re cool': '35', 'complimentTag_Great photo': '17', 'complimentTag_Good writer': '10', 'complimentTag_Hot stuff': '6', 'complimentTag_Just a note': '6', 'complimentTag_Like your profile': '4', 'complimentTag_You’re funny': '2'}","{'topCategory_Restaurants': '214', 'topCategory_Food': '75', 'topCategory_Nightlife': '73', 'topCategory_Bars': '68'}",609,5.0,447,2.0,15.0,14.0,16.0,10.0,51.0,6.0,35.0,,4.0,17.0,214.0,,68.0,73.0,6.0,2.0,,75.0,,,,,,,
7,/user_details?userid=ebtpi5qpypOVYaUgT5aEwA,Deborah W.,--,December 2015,"Manhattan, NY",--,--,--,1442,60,211,155,30,8,339,464,"{'reviewTag_Helpful': '2k', 'reviewTag_Thanks': '74', 'reviewTag_Love this': '1.5k', 'reviewTag_Oh no': '47', 'reviewTag_Review updates': '7', 'reviewTag_First reviews': '12', 'reviewTag_Followers': '44'}","{'complimentTag_You’re cool': '51', 'complimentTag_Thank you': '36', 'complimentTag_Great photo': '29', 'complimentTag_Good writer': '19', 'complimentTag_Hot stuff': '14', 'complimentTag_Write more': '5', 'complimentTag_Just a note': '4', 'complimentTag_Like your profile': '2', 'complimentTag_Cute pic': '2', 'complimentTag_You’re funny': '1'}","{'topCategory_Restaurants': '350', 'topCategory_Nightlife': '102', 'topCategory_Bars': '97', 'topCategory_Food': '77'}",2k,74.0,1.5k,47.0,7.0,12.0,44.0,19.0,36.0,4.0,51.0,5.0,2.0,29.0,350.0,,97.0,102.0,14.0,1.0,2.0,77.0,,,,,,,
8,/user_details?userid=zYp2j3HxP_XEn6xdfD01Wg,Jordan W.,--,January 2014,"Manhattan, NY",--,--,--,390,294,236,56,24,10,415,620,"{'reviewTag_Helpful': '291', 'reviewTag_Thanks': '15', 'reviewTag_Love this': '296', 'reviewTag_Oh no': '42', 'reviewTag_Review updates': '14', 'reviewTag_First reviews': '8', 'reviewTag_Followers': '8'}","{'complimentTag_Thank you': '10', 'complimentTag_You’re funny': '4', 'complimentTag_You’re cool': '3', 'complimentTag_Hot stuff': '3', 'complimentTag_Just a note': '2', 'complimentTag_Great photo': '1', 'complimentTag_Good writer': '1'}","{'topCategory_Restaurants': '534', 'topCategory_Nightlife': '285', 'topCategory_Bars': '282', 'topCategory_Cocktail Bars': '123'}",291,15.0,296,42.0,14.0,8.0,8.0,1.0,10.0,2.0,3.0,,,1.0,534.0,,282.0,285.0,3.0,4.0,,,,,123.0,,,,
9,/user_details?userid=Tkw7Oyt_EL4_wDTOUjRLsA,Alfredo P.,--,January 2017,"La Jolla, La Jolla, CA",--,--,--,16,5,2,0,0,5,0,12,"{'reviewTag_Helpful': '4', 'reviewTag_Thanks': '0', 'reviewTag_Love this': '1', 'reviewTag_Oh no': '0'}","{'complimentTag_Write more': '1', 'complimentTag_Just a note': '1'}","{'topCategory_Restaurants': '7', 'topCategory_Bars': '2', 'topCategory_Mediterranean': '2', 'topCategory_Mexican': '2'}",4,0.0,1,0.0,,,,,,1.0,,1.0,,,7.0,,2.0,,,,,,,,,2.0,2.0,,
