	user	restaurant	title	date	starsValue	text	restaurnat
0	gudgels	Pera	Good for tea	  agosto 2023	3.0	The Farnham arms is a decent spot to grab a pot of tea and a scone but I'd give the carvery a pass.  Irish food has move on for the better since this was the ma ...	/Hotel_Review-g212521-d1605527-Reviews-The_Farnham_Arms_Hotel-Cavan_County_Cavan.html
1	gudgels	Pera	Delicious food in a relaxed setting	  agosto 2023	5.0	We went to the Chilli Lounge on a Sunday night and had only a few other table occupied near us.  The welcome is friendly and warm.  We were given some complimen ...	/Restaurant_Review-g212521-d13444789-Reviews-Chilli_Lounge-Cavan_County_Cavan.html
2	gudgels	Pera	Location Location Location	  giugno 2023	4.0	Came here on a rainy saturday.  Was not a fan of the $30 parking charge as the voucher the give you in return cannot be used for drinks.  We had eaten lunch alr ...	/Attraction_Review-g60754-d553727-Reviews-The_Beachcomber_of_Wellfleet-Wellfleet_Cape_Cod_Massachusetts.html
3	gudgels	Pera	Mostly good food	  giugno 2023	4.0	Food and service were mostly good.  Appetizer of clam chowder was barely lukewarm but tasty.  Our waiter disappeared or we would have sent back to reheat.  Exce ...	/Restaurant_Review-g41841-d384674-Reviews-Skipper_Chowder_House-South_Yarmouth_Yarmouth_Cape_Cod_Massachusetts.html
4	gudgels	Pera	Best beer in America	  giugno 2023	5.0	Our second trip to Tree House and it was still amazing.  Cant say we are big fans of the who ticketing thing but it does keep everybody organized and bottom lin ...	/Attraction_Review-g41802-d25012910-Reviews-Tree_House_Brewing_Co-Sandwich_Cape_Cod_Massachusetts.html
5	gudgels	Pera	Friendly staff, decent hotel	  giugno 2023	4.0	Our stay at the Hyannis Holiday Inn was a mostly positive experience.  The staff were very friendly and I really appreciated the upgrade to a King suite as I am ...	/Hotel_Review-g41623-d609533-Reviews-Holiday_Inn_Cape_Cod_Hyannis_an_IHG_Hotel-Hyannis_Cape_Cod_Massachusetts.html
6	gudgels	Pera	Vast selection of options	  dicembre 2022	4.0	Essen is my go-to spot for a quick lunch grab.  Wide variety of options from hot breakfast and buffet lunches to salads, grill bar, deli counter etc.  Prices ar ...	/Restaurant_Review-g60763-d5243709-Reviews-ESSEN_Fast_Slow_Food-New_York_City_New_York.html
7	gudgels	Pera	Solid mediterranean offering on Madison Ave	  dicembre 2022	4.0	Went for a business lunch with a group of six.  Food was above average.  My grilled octopus appetizer was delicious and the levantine seafood cake was decent, i ...	/Restaurant_Review-g60763-d943906-Reviews-Pera_Mediterranean_Brasserie-New_York_City_New_York.html
8	gudgels	Pera	Just okay location of franchise	  agosto 2022	3.0	I've had better Jersey Mikes closer to home.  This location is definitely skimpier on the meat on their subs.  	/Restaurant_Review-g46592-d475148-Reviews-Jersey_Mike_s_Subs-Manahawkin_New_Jersey.html
9	gudgels	Pera	Great dining and service at this gem near LBI	  agosto 2022	5.0	We had a fabulous dinner at this hidden gem of a restaurant.  All of our food was excellent and reasonably priced and is also a BYO establishment.  Service was  ...	/Restaurant_Review-g46592-d8352934-Reviews-Manera_s-Manahawkin_New_Jersey.html
10	gudgels	Pera	Poor selection and disgruntled staff	  agosto 2022	1.0	We were very disappointed when we visited last week.  Had been there once before when it first opened and thought it okay.  This time around, drinks selection w ...	/Restaurant_Review-g46592-d18415435-Reviews-Boatyard-Manahawkin_New_Jersey.html
11	gudgels	Pera	Nice stay at a lovey Inn	  luglio 2022	5.0	We stayed in the Seth room in the Painted Lady.  Our room was well appointed, the bed was very comfortable and the breakfasts were delicious and food plentiful. ...	/Restaurant_Review-g41802-d518912-Reviews-Belfry_Inne_and_Bistro-Sandwich_Cape_Cod_Massachusetts.html
12	gudgels	Pera	Great food, service and music	  luglio 2022	5.0	We went there on a gorgeous summer evening and spent several hours listening to the music and having a few drinks and delicious fresh seafood.  We will definite ...	/Restaurant_Review-g41802-d384808-Reviews-The_Pilot_House_Restaurant_Lounge-Sandwich_Cape_Cod_Massachusetts.html
13	gudgels	Pera	Airport Shuttle Service	  febbraio 2022	4.0	Our tour operator used Discova for shuttle service from Punta Cana airport to our resort.  Drivers both ways were polite and efficient.  Our return trip driver  ...	/Attraction_Review-g147293-d21000495-Reviews-Discova-Punta_Cana_La_Altagracia_Province_Dominican_Republic.html
14	gudgels	Pera	Unimpressed with the Impressive Premium	  febbraio 2022	2.0	The Impressive has beautiful grounds, a nice beach and decent pools, well-appointed rooms with one of the best showers you will see in a hotel room and comforta ...	/Hotel_Review-g3176298-d15080584-Reviews-Impressive_Premium_Punta_Cana-Bavaro_Punta_Cana_La_Altagracia_Province_Dominican_Rep.html
15	gudgels	Pera	A few hits, mostly misses	  novembre 2021	3.0	We had drinks and Tapas there after arriving on the island.  Service was great, and the drinks were delicious.  Ordered four tapas dishes and one of the four wa ...	/Restaurant_Review-g488162-d21199106-Reviews-YOLO_Cocktails_and_Tapas-Noord_Aruba.html
16	gudgels	Pera	Typical BK	  novembre 2021	3.0	Its a Burger King, so how good can it really be?  Food came out pretty lukewarm, service time was average	/Restaurant_Review-g147248-d17411683-Reviews-Burger_King-Oranjestad_Aruba.html
17	gudgels	Pera	Fantastic steakhouse	  novembre 2021	5.0	Our meal at El Gaucho was the culinary highlight of our trip to Aruba.  The food was excellent from appetizers to dessert, but the steaks are the reason to come ...	/Restaurant_Review-g147248-d1045738-Reviews-El_Gaucho_Argentine_Grill-Oranjestad_Aruba.html
18	gudgels	Pera	Nice location but mediocre food	  novembre 2021	3.0	The location overlooking the beach is great.  That’s our positives.  Our server had an attitude.  I thought it was just me but other members of our party commen ...	/Restaurant_Review-g147249-d1918548-Reviews-Azzurro_Ristorante_Italiano-Palm_Eagle_Beach_Aruba.html
19	gudgels	Pera	Nice setting and solid food	  novembre 2021	4.0	This is one of the nicest dining settings in Aruba.  The food, while solid, does not quite live up to the expectations of the venue and the pricing.  Service wa ...	/Restaurant_Review-g147248-d7346580-Reviews-Quinta_del_Carmen-Oranjestad_Aruba.html
20	gudgels	Pera	Best Aruba Stay	  novembre 2021	5.0	We are just back from a wonderful stay at the Holiday Inn Aruba Resort and missing it already.  We had a magical six day stay at this resort.  Where do I start?...	/Hotel_Review-g147249-d184828-Reviews-Holiday_Inn_Resort_Aruba_Beach_Resort_Casino-Palm_Eagle_Beach_Aruba.html
21	gudgels	Pera	Good ribs and service	  novembre 2021	4.0	Our service was excellent, seated at a nice table close to the street immediately.  Our waiter was friendly and prompt, food and drink service was quick.  Food ...	/Restaurant_Review-g147249-d1046486-Reviews-Smokey_Joe_s-Palm_Eagle_Beach_Aruba.html
22	gudgels	Pera	Grumpy service	  novembre 2021	3.0	The food was just okay,  the lady behind the counter must have been having a bad day because it was the crankiest service experience I had in Aruba.	/Restaurant_Review-g488162-d8396713-Reviews-Dunkin_Donuts-Noord_Aruba.html
23	gudgels	Pera	Beers and Football	  novembre 2021	4.0	This is a good spot for beers and watching football.  Spent a Thursday night there watching the game.  Minor complaint is their screens are not synched so only ...	/Restaurant_Review-g147249-d4465559-Reviews-Carlitos_Sport_Beach_Bar_Grill-Palm_Eagle_Beach_Aruba.html
24	gudgels	Pera	Great breakfast and lunch choice	  novembre 2021	5.0	Scott’s Brats was a frequent stop during our Aruban vacation.  Great sausages and creative lunch specials, all at a really fair price.  Service with a smile too...	/Restaurant_Review-g147249-d2605626-Reviews-Scott_s_Brats-Palm_Eagle_Beach_Aruba.html
25	gudgels	Pera	Wonderful meal, excellent service in a carnivores dream.	  ottobre 2021	5.0	Located in a former bank building with a marbled circular staircase entrance and high ceilings, Fogo immediately makes a positive impression on you as a guest. ...	/Restaurant_Review-g48883-d20152831-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-White_Plains_New_York.html
26	gudgels	Pera	Best burger in Puerto Rico	  marzo 2020	5.0	Great stuffed burgers and fries.  Service is a little slow but the beers are cold and the end product in 100% worth the wait	/Restaurant_Review-g635965-d16875751-Reviews-El_Jefe_Burgers_And_Mojito_Factory-Luquillo_Puerto_Rico.html
27	gudgels	Pera	Disappointing dinner	  marzo 2020	2.0	We went there on the last night before the pandemic lockdown and curfew in March.  We got a nice table in the rear of the restaurant and the server was friendly...	/Restaurant_Review-g635965-d4117046-Reviews-Edelweiss_Bar_Grill-Luquillo_Puerto_Rico.html
28	gudgels	Pera	Fun evening at a decent restaurant	  settembre 2019	4.0	We went there on a Saturday night of VT parents weekend so it was packed and we had to wait about 25 minutes to get seated.  Appetizers and entrees were all del...	/Restaurant_Review-g57513-d1852938-Reviews-Cabo_Fish_Taco-Blacksburg_Virginia.html
29	gudgels	Pera	Decent selection and value	  settembre 2019	4.0	Only stopped by here for a quick drink on a Friday night when in Blacksburg for VT parents weekend.  Selection was great and drinks were cold and tasty.  Servic...	/Restaurant_Review-g57513-d18717418-Reviews-McClains_at_First_Main-Blacksburg_Virginia.html
30	gudgels	Pera	The 1990s called and want their Brewpub back	  settembre 2019	2.0	"We did not eat there, so this is solely a review of drinks at the bar.  

We went there on a Friday night around 9:30 pm.  The place was dead.  There was a lot ..."	/Restaurant_Review-g57513-d1481024-Reviews-Bull_Bones_Brewhaus_Grill-Blacksburg_Virginia.html
