restaurantLink;restaurant;category;locaition;date;starsValue;text;useful;funny;cool
/biz/pera-mediterranean-brasserie-new-york;Pera Mediterranean Brasserie;Turkish,Mediterranean,Middle Eastern;Midtown East, New York;Jan 6, 2024;5;We were here for a Birthday dinner. I absolutely loved that we didn't have to wait for the whole party to arrive before being seated. I also loved how convenient it was to public transportation. Pretty much across from Grand Central.  The decor was beautiful. We were seated at the table partially surrounded by beautiful Wine bottles. The music wasn't too loud and it felt like a location that you can either dress casual or dress to the nines and not feel out of place.  The staff were very nice. From the moment you entered you were greeted. They were patient and attentive to the tables needs. We had 2 toddlers with our party and they didn't seem overwhelmed.  Everything we tried was delicious. Food, Drinks, Dessert and Coffee. Absolutely great experience.;--;--;--
/biz/mesita-rockville-centre-2;Mesita;Mexican,Lounges;Rockville Centre, NY;Dec 22, 2023;4;We had an early lunch and there was a handful of patrons. The ambience was nice. The music wasn't too loud, just the right amount of background sound. We were greeted as soon as we walked in. Seated right away. Service was quick, food was delish, drinks was on point. Every one was courteous and definitely can't wait to visit again.;--;--;--
/biz/yolk-up-queens;Yolk Up;Breakfast & Brunch,Waffles,Burgers;Oakland Gardens, Queens;Aug 6, 2023;4;We visited on a Sunday around noon. We thought it was going to be packed but it had lots of seating and a few people inside. The place was nice and clean and inviting. It also smelt really good. I don't know if it was the waffles or something else but it was so good. The staff was pleasant and helpful.  What we noticed was that everyone else was waiting for their to-go orders. It seems as though that's very common. There were also a lot of deliveries. We were the only ones that were dining in until we were almost done then another group came in to dine.  We placed our orders and it didn't take that long for us to get our meals. We got the chicken and waffles, tenders and fries and I think it's called the Yolk Up Sandwich, we also got an Oreo Milkshake to go. What we didn't expect was the spiciness from the sandwich and the fries. I didn't mind but my daughter kept asking for water every time she would eat the fries and yet she wouldn't let us take them. We enjoyed everything and will definitely eat here again. Also it is only street parking available.;--;--;1
/biz/sugarberry-bakery-rockville-centre;Sugarberry Bakery;Coffee & Tea,Bakeries,Desserts;Rockville Centre, NY;Jun 20, 2023;5;Went out to eat dinner for Father's Day and my husband had requested going out for dessert also. As we were almost done with dinner I searched Yelp for the nearest dessert shop and to our surprise it was only a few stores down which was great. We walked over from towards the back entrance and it looked beautifully set up for some great pictures and just a nice spot to sit outdoors and have some treats and coffee. We decided we would take our treats home for later but get coffee for the ride home. The line was not long. There was seating inside as well. The showcase was not overwhelming but had a really nice selection of treats. We all got what we were craving along with a Cappuccino and a Flat White. My husband and I both enjoyed everything. We have decided this will be our new dessert spot whenever we want to just go out late for dessert and coffee. They are open late and there is lots of parking. I've already passed on the address to my brother in law and a girlfriend of mine that also has a sweet tooth and lives in the general area.;--;--;--
/biz/the-pantry-rockville-centre-4;The Pantry;Breakfast & Brunch,Comfort Food,American;Rockville Centre, NY;Jun 4, 2023;5;Same as usual. Everything was enjoyed by all. Service was great. Every time I visit I try to order something new. I had the egg white omelet. Loved it. Looking forward to my next visit and what I'm going to try next.;--;--;--
/biz/the-metropolitan-museum-of-art-new-york-3;The Metropolitan Museum of Art;Art Museums;Central Park, New York;May 19, 2023;5;Beautiful art and sculptures. We met one of the artists. Great Day all around. You can spend the whole day enjoying this museum.;--;--;--
/biz/shake-shack-westbury-garden-city-2;Shake Shack Westbury;Burgers,Ice Cream & Frozen Yogurt;Garden City, NY;May 14, 2023;5;Decided to try this shake shack for lunch while out shopping. There was no line when we entered which was great. The wait for our food was not horrible and the food was great.;1;1;1
/biz/the-childrens-social-club-rockville-centre;The Children's Social Club;Indoor Playcentre,Cafes,Party & Event Planning;Rockville Centre, NY;Apr 11, 2023;5;My daughter loved the space, she didn't want to leave. Lots to do from riding a pony to sliding into the ball pit and everything in between. I didn't try the coffee, maybe next time but we did get a snack on the way out. They had an assortment of snacks and candy.;--;--;--
/biz/shirley-chisholm-state-park-brooklyn;Shirley Chisholm State Park;Parks;Starret City, Brooklyn;Apr 11, 2023;5;Great place to go for a stroll, bike, fish and just have a nice family time. It's up to you if you want a relaxing stroll or an intense work out with a long walk, run or ride. There are multiple entrances for different routes so you can switch it up to keep it interesting.;--;--;1
/biz/amc-glen-cove-6-glen-cove;AMC Glen Cove 6;Cinema;Glen Cove, NY;Apr 11, 2023;4;Was a nice theater. Parking available, comfortable seating, great location, everyone was very helpful. We had an issue regarding our gift certificates and they went above and beyond to help rectify the problem. Theater was clean. Only downside was the restroom but it's not like they can clean up behind everyone.;--;--;--
