link;name;level;memberSince;city;contributions;helpful;cites;photos;distributionExcellent;distributionVeryGood;distributionAverage;distributionPoor;distributionTerrible;friends;reviews;tagsReviewMap;tagsComplimentMap;topCategoryMap;reviewTag_Helpful;reviewTag_Thanks;reviewTag_Love this;reviewTag_Oh no;reviewTag_Review updates;reviewTag_First reviews;reviewTag_Followers;complimentTag_Good writer;complimentTag_Thank you;complimentTag_Just a note;complimentTag_You’re cool;complimentTag_Write more;complimentTag_Like your profile;complimentTag_Great photo;topCategory_Restaurants;topCategory_Event Planning & Services;topCategory_Bars;topCategory_Nightlife;complimentTag_Hot stuff;complimentTag_You’re funny;complimentTag_Cute pic;topCategory_Food;complimentTag_Great lists;topCategory_Seafood;topCategory_Cocktail Bars;topCategory_Mediterranean;topCategory_Mexican;topCategory_Breakfast & Brunch
--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;{};{};;;;;;;;;;;;;;;;;;;;;;;;;;;;;
/user_details?userid=YM0z6iErTY_AfajAYT2ZoA;Mj F.;--;June 2011;New York, NY;--;--;--;418;34;45;11;2;5;43;97;{'reviewTag_Helpful': '69', 'reviewTag_Thanks': '2', 'reviewTag_Love this': '67', 'reviewTag_Oh no': '3', 'reviewTag_Review updates': '13', 'reviewTag_First reviews': '1', 'reviewTag_Followers': '4'};{'complimentTag_Good writer': '4', 'complimentTag_Thank you': '3', 'complimentTag_Just a note': '2', 'complimentTag_You’re cool': '1', 'complimentTag_Write more': '1', 'complimentTag_Like your profile': '1', 'complimentTag_Great photo': '1'};{'topCategory_Restaurants': '54', 'topCategory_Event Planning & Services': '20', 'topCategory_Bars': '19', 'topCategory_Nightlife': '19'};69;2;67;3;13;1;4;4;3;2;1;1;1;1;54;20;19;19;;;;;;;;;;
/user_details?userid=1k36zEvbfj3HEHEnqcLAUg;Stephy G.;--;July 2012;Fair Lawn, NJ;--;--;--;1805;101;115;82;34;3;371;335;{'reviewTag_Helpful': '3.5k', 'reviewTag_Thanks': '28', 'reviewTag_Love this': '2.9k', 'reviewTag_Oh no': '12', 'reviewTag_Review updates': '0', 'reviewTag_First reviews': '0', 'reviewTag_Followers': '66'};{'complimentTag_You’re cool': '78', 'complimentTag_Great photo': '68', 'complimentTag_Thank you': '49', 'complimentTag_Good writer': '42', 'complimentTag_Hot stuff': '39', 'complimentTag_Just a note': '36', 'complimentTag_You’re funny': '7', 'complimentTag_Write more': '3', 'complimentTag_Like your profile': '2', 'complimentTag_Cute pic': '1'};{'topCategory_Restaurants': '241', 'topCategory_Food': '102', 'topCategory_Nightlife': '82', 'topCategory_Bars': '79'};3.5k;28;2.9k;12;0;0;66;42;49;36;78;3;2;68;241;;79;82;39;7;1;102;;;;;;
/user_details?userid=quqkZJJSm79L6ghOFvvY3w;Stephen S.;--;September 2012;Lighthouse Point, FL;--;--;--;6037;230;105;31;7;24;746;397;{'reviewTag_Helpful': '7.6k', 'reviewTag_Thanks': '80', 'reviewTag_Love this': '6.6k', 'reviewTag_Oh no': '24', 'reviewTag_Review updates': '62', 'reviewTag_First reviews': '40', 'reviewTag_Followers': '120'};{'complimentTag_Thank you': '1244', 'complimentTag_You’re cool': '1207', 'complimentTag_Great photo': '1035', 'complimentTag_Just a note': '345', 'complimentTag_Hot stuff': '299', 'complimentTag_Good writer': '151', 'complimentTag_You’re funny': '113', 'complimentTag_Write more': '25', 'complimentTag_Like your profile': '12', 'complimentTag_Great lists': '1', 'complimentTag_Cute pic': '1'};{'topCategory_Restaurants': '257', 'topCategory_Nightlife': '79', 'topCategory_Bars': '77', 'topCategory_Seafood': '53'};7.6k;80;6.6k;24;62;40;120;151;1244;345;1207;25;12;1035;257;;77;79;299;113;1;;1;53;;;;
/user_details?userid=_dFTops0NkUBywuzpI4Ppw;Kelly G.;--;March 2014;Charleston, SC;--;--;--;2452;281;92;54;28;13;285;468;{'reviewTag_Helpful': '1.2k', 'reviewTag_Thanks': '18', 'reviewTag_Love this': '859', 'reviewTag_Oh no': '15', 'reviewTag_Review updates': '18', 'reviewTag_First reviews': '21', 'reviewTag_Followers': '25'};{'complimentTag_Just a note': '41', 'complimentTag_Thank you': '41', 'complimentTag_Good writer': '39', 'complimentTag_You’re cool': '37', 'complimentTag_Hot stuff': '19', 'complimentTag_Great photo': '18', 'complimentTag_You’re funny': '7', 'complimentTag_Write more': '2', 'complimentTag_Like your profile': '2'};{'topCategory_Restaurants': '266', 'topCategory_Nightlife': '91', 'topCategory_Bars': '87', 'topCategory_Seafood': '79'};1.2k;18;859;15;18;21;25;39;41;41;37;2;2;18;266;;87;91;19;7;;;;79;;;;
/user_details?userid=IUZIVsyo5V9ihA9KNaVuVw;Nicki M.;--;July 2018;Katy, TX;--;--;--;486;106;37;6;1;0;148;150;{'reviewTag_Helpful': '52', 'reviewTag_Thanks': '11', 'reviewTag_Love this': '45', 'reviewTag_Oh no': '5', 'reviewTag_Review updates': '12', 'reviewTag_First reviews': '4', 'reviewTag_Followers': '4'};{'complimentTag_Thank you': '3', 'complimentTag_Write more': '2', 'complimentTag_Like your profile': '1', 'complimentTag_Hot stuff': '1', 'complimentTag_Great photo': '1', 'complimentTag_Good writer': '1'};{'topCategory_Restaurants': '114', 'topCategory_Nightlife': '39', 'topCategory_Bars': '36', 'topCategory_Food': '30'};52;11;45;5;12;4;4;1;3;;;2;1;1;114;;36;39;1;;;30;;;;;;
/user_details?userid=3CU32j5m54UJg45DDkgEsw;Susan P.;--;February 2012;Austin, TX;--;--;--;2966;183;108;33;16;3;292;343;{'reviewTag_Helpful': '609', 'reviewTag_Thanks': '5', 'reviewTag_Love this': '447', 'reviewTag_Oh no': '2', 'reviewTag_Review updates': '15', 'reviewTag_First reviews': '14', 'reviewTag_Followers': '16'};{'complimentTag_Thank you': '51', 'complimentTag_You’re cool': '35', 'complimentTag_Great photo': '17', 'complimentTag_Good writer': '10', 'complimentTag_Hot stuff': '6', 'complimentTag_Just a note': '6', 'complimentTag_Like your profile': '4', 'complimentTag_You’re funny': '2'};{'topCategory_Restaurants': '214', 'topCategory_Food': '75', 'topCategory_Nightlife': '73', 'topCategory_Bars': '68'};609;5;447;2;15;14;16;10;51;6;35;;4;17;214;;68;73;6;2;;75;;;;;;
/user_details?userid=ebtpi5qpypOVYaUgT5aEwA;Deborah W.;--;December 2015;Manhattan, NY;--;--;--;1442;60;211;155;30;8;339;464;{'reviewTag_Helpful': '2k', 'reviewTag_Thanks': '74', 'reviewTag_Love this': '1.5k', 'reviewTag_Oh no': '47', 'reviewTag_Review updates': '7', 'reviewTag_First reviews': '12', 'reviewTag_Followers': '44'};{'complimentTag_You’re cool': '51', 'complimentTag_Thank you': '36', 'complimentTag_Great photo': '29', 'complimentTag_Good writer': '19', 'complimentTag_Hot stuff': '14', 'complimentTag_Write more': '5', 'complimentTag_Just a note': '4', 'complimentTag_Like your profile': '2', 'complimentTag_Cute pic': '2', 'complimentTag_You’re funny': '1'};{'topCategory_Restaurants': '350', 'topCategory_Nightlife': '102', 'topCategory_Bars': '97', 'topCategory_Food': '77'};2k;74;1.5k;47;7;12;44;19;36;4;51;5;2;29;350;;97;102;14;1;2;77;;;;;;
/user_details?userid=zYp2j3HxP_XEn6xdfD01Wg;Jordan W.;--;January 2014;Manhattan, NY;--;--;--;390;294;236;56;24;10;415;620;{'reviewTag_Helpful': '291', 'reviewTag_Thanks': '15', 'reviewTag_Love this': '296', 'reviewTag_Oh no': '42', 'reviewTag_Review updates': '14', 'reviewTag_First reviews': '8', 'reviewTag_Followers': '8'};{'complimentTag_Thank you': '10', 'complimentTag_You’re funny': '4', 'complimentTag_You’re cool': '3', 'complimentTag_Hot stuff': '3', 'complimentTag_Just a note': '2', 'complimentTag_Great photo': '1', 'complimentTag_Good writer': '1'};{'topCategory_Restaurants': '534', 'topCategory_Nightlife': '285', 'topCategory_Bars': '282', 'topCategory_Cocktail Bars': '123'};291;15;296;42;14;8;8;1;10;2;3;;;1;534;;282;285;3;4;;;;;123;;;
/user_details?userid=Tkw7Oyt_EL4_wDTOUjRLsA;Alfredo P.;--;January 2017;La Jolla, La Jolla, CA;--;--;--;16;5;2;0;0;5;0;12;{'reviewTag_Helpful': '4', 'reviewTag_Thanks': '0', 'reviewTag_Love this': '1', 'reviewTag_Oh no': '0'};{'complimentTag_Write more': '1', 'complimentTag_Just a note': '1'};{'topCategory_Restaurants': '7', 'topCategory_Bars': '2', 'topCategory_Mediterranean': '2', 'topCategory_Mexican': '2'};4;0;1;0;;;;;;1;;1;;;7;;2;;;;;;;;;2;2;
/user_details?userid=30Gghq_Dwm5DUpR_VeXx0A;Kevin L.;--;May 2008;Los Angeles, CA;--;--;--;47;52;3;5;3;19;115;82;{'reviewTag_Helpful': '88', 'reviewTag_Thanks': '2', 'reviewTag_Love this': '36', 'reviewTag_Oh no': '5', 'reviewTag_Review updates': '2', 'reviewTag_First reviews': '4', 'reviewTag_Followers': '3'};{'complimentTag_You’re cool': '2', 'complimentTag_You’re funny': '1', 'complimentTag_Write more': '1', 'complimentTag_Just a note': '1', 'complimentTag_Great photo': '1'};{'topCategory_Restaurants': '48', 'topCategory_Breakfast & Brunch': '16', 'topCategory_Food': '13', 'topCategory_Bars': '10'};88;2;36;5;2;4;3;;;1;2;1;;1;48;;10;;;1;;13;;;;;;16
